user_id,Length,Recency,Frequency,Monetary,cluster,nov_frequency,churn_label
314569725,0,7,1,369.2,0,0.0,Total Churn
375755214,0,1,1,134.37,0,0.0,Total Churn
392880362,0,30,1,398.95,1,0.0,Total Churn
404666934,0,9,1,129.99,0,0.0,Total Churn
419915040,0,11,1,69.24,0,0.0,Total Churn
420692806,0,17,1,270.25,1,0.0,Total Churn
425536624,0,18,1,278.49,1,0.0,Total Churn
427398196,0,27,1,462.38,1,0.0,Total Churn
438245262,0,14,1,166.65,0,0.0,Total Churn
445162060,0,20,1,58.95,1,0.0,Total Churn
450481598,0,9,1,99.74,0,0.0,Total Churn
450545419,0,8,1,437.57,0,0.0,Total Churn
451201122,0,2,1,257.15,0,0.0,Total Churn
451877208,0,12,1,282.84,0,0.0,Total Churn
452175780,0,16,1,67.94,1,0.0,Total Churn
452371489,0,17,1,230.79,1,0.0,Total Churn
452457008,0,16,1,277.97,1,0.0,Total Churn
453039628,0,16,1,59.2,1,0.0,Total Churn
455299684,0,12,1,1003.63,3,0.0,Total Churn
455539968,0,7,1,329.25,0,0.0,Total Churn
459333320,0,21,1,257.04,1,0.0,Total Churn
462245182,0,19,1,187.98,1,0.0,Total Churn
462507590,0,11,1,360.09,0,0.0,Total Churn
463020196,0,12,1,19.02,0,0.0,Total Churn
463168861,0,21,1,151.61,1,0.0,Total Churn
463474066,0,8,1,782.26,3,0.0,Total Churn
463570586,0,28,1,110.68,1,0.0,Total Churn
467449679,0,29,1,60.8,1,0.0,Total Churn
467859346,0,12,1,538.76,0,0.0,Total Churn
467920571,0,28,1,107.71,1,0.0,Total Churn
468129212,0,10,1,493.92,0,0.0,Total Churn
472278355,0,16,1,128.68,1,0.0,Total Churn
474309342,0,20,1,196.88,1,0.0,Total Churn
474767469,0,17,1,460.5,1,0.0,Total Churn
476241523,0,11,1,936.69,3,0.0,Total Churn
476582450,0,3,1,137.97,0,0.0,Total Churn
478367034,0,27,1,866.95,3,0.0,Total Churn
480155596,0,30,1,175.29,1,0.0,Total Churn
481284718,0,28,1,135.14,1,0.0,Total Churn
481916125,0,3,1,345.51,0,0.0,Total Churn
482475414,0,14,1,196.92,0,0.0,Total Churn
483887440,0,19,1,98.57,1,0.0,Total Churn
483984415,0,28,1,252.88,1,0.0,Total Churn
485200541,0,10,1,178.64,0,0.0,Total Churn
485678453,0,21,1,27.03,1,0.0,Total Churn
486562311,0,13,1,75.42,0,0.0,Total Churn
486572730,0,4,1,256.89,0,0.0,Total Churn
488379220,0,12,1,170.91,0,0.0,Total Churn
488806664,0,10,1,2425.03,3,0.0,Total Churn
489320461,0,25,1,231.41,1,0.0,Total Churn
489342287,0,0,1,375.53,0,0.0,Total Churn
489492174,0,13,1,1419.4,3,0.0,Total Churn
490099622,0,26,1,475.66,1,0.0,Total Churn
490162909,0,26,1,131.92,1,0.0,Total Churn
490735345,0,11,1,509.64,0,0.0,Total Churn
491283675,0,8,1,396.15,0,0.0,Total Churn
491295010,0,17,1,257.15,1,0.0,Total Churn
491298120,0,18,1,123.56,1,0.0,Total Churn
491320369,0,11,1,1029.09,3,0.0,Total Churn
491469982,0,5,1,225.49,0,0.0,Total Churn
492356220,0,27,1,965.02,3,0.0,Total Churn
492371224,0,24,1,30.86,1,0.0,Total Churn
492502130,0,3,1,154.16,0,0.0,Total Churn
492822120,0,5,1,90.07,0,0.0,Total Churn
493450133,0,0,1,167.29,0,0.0,Total Churn
494526569,0,27,1,333.81,1,0.0,Total Churn
494938861,0,5,1,91.73,0,0.0,Total Churn
495654168,0,13,1,240.57,0,0.0,Total Churn
495749012,0,4,1,23.14,0,0.0,Total Churn
496579817,0,22,1,164.71,1,0.0,Total Churn
497349670,0,23,1,131.02,1,0.0,Total Churn
497719581,0,24,1,131.76,1,0.0,Total Churn
497900279,0,14,1,358.57,0,0.0,Total Churn
498281163,0,17,1,808.23,3,0.0,Total Churn
498548239,0,3,1,329.22,0,0.0,Total Churn
498683290,0,7,1,200.52,0,0.0,Total Churn
498747205,0,9,1,581.96,0,0.0,Total Churn
500304559,0,21,1,123.35,1,0.0,Total Churn
500512398,0,21,1,128.68,1,0.0,Total Churn
500631838,0,3,1,282.61,0,0.0,Total Churn
501084448,0,17,1,136.4,1,0.0,Total Churn
501641809,0,18,1,766.76,3,0.0,Total Churn
501815900,0,15,1,72.07,1,0.0,Total Churn
502276213,0,9,1,82.63,0,0.0,Total Churn
503052016,0,11,1,108.1,0,0.0,Total Churn
503258118,0,17,1,354.88,1,0.0,Total Churn
503271412,0,17,1,131.64,1,0.0,Total Churn
503324568,0,25,1,164.97,1,0.0,Total Churn
503766441,0,17,1,69.22,1,0.0,Total Churn
504415823,0,30,1,254.11,1,0.0,Total Churn
504590622,0,4,1,231.36,0,0.0,Total Churn
504841350,0,28,1,585.84,1,0.0,Total Churn
505089836,0,16,1,476.07,1,0.0,Total Churn
505129763,0,24,1,236.55,1,0.0,Total Churn
505226298,0,4,1,244.06,0,0.0,Total Churn
505290179,0,16,1,35.78,1,0.0,Total Churn
506009066,0,28,1,136.17,1,0.0,Total Churn
506222682,0,9,1,334.37,0,0.0,Total Churn
506352722,0,19,1,225.54,1,0.0,Total Churn
507412213,0,16,1,298.57,1,0.0,Total Churn
508466145,0,23,1,200.75,1,0.0,Total Churn
508539339,0,8,1,468.22,0,0.0,Total Churn
509325938,0,0,1,35.99,0,0.0,Total Churn
509504223,0,5,1,725.38,0,0.0,Total Churn
510384673,0,22,1,444.93,1,0.0,Total Churn
510587476,0,23,1,48.91,1,0.0,Total Churn
510624849,0,12,1,239.13,0,0.0,Total Churn
511211745,0,9,1,222.53,0,0.0,Total Churn
511339122,0,13,1,231.64,0,0.0,Total Churn
512017529,0,2,1,305.57,0,0.0,Total Churn
512363614,0,21,1,1090.84,3,0.0,Total Churn
512363624,0,5,1,694.97,0,0.0,Total Churn
512363741,0,5,1,83.66,0,0.0,Total Churn
512363788,0,13,1,951.99,3,0.0,Total Churn
512363891,0,25,1,146.46,1,0.0,Total Churn
512363969,0,10,1,192.8,0,0.0,Total Churn
512364242,0,6,1,1208.01,3,0.0,Total Churn
512364647,0,14,1,174.52,0,0.0,Total Churn
512364719,0,20,1,191.61,1,0.0,Total Churn
512364960,0,6,1,48.88,0,1.0,Non-Churn
512365051,0,13,1,143.12,0,0.0,Total Churn
512365189,0,8,2,252.89,2,0.0,Total Churn
512365639,0,5,1,187.47,0,0.0,Total Churn
512365995,26,4,7,2133.05,2,1.0,Partial Churn
512366227,0,23,1,363.52,1,0.0,Total Churn
512366238,0,15,1,434.73,1,0.0,Total Churn
512366249,0,30,1,167.77,1,0.0,Total Churn
512366270,0,26,1,282.89,1,0.0,Total Churn
512366314,0,25,1,36.04,1,0.0,Total Churn
512366378,0,6,1,192.59,0,0.0,Total Churn
512366670,0,21,1,1015.47,3,0.0,Total Churn
512367050,0,3,1,45.02,0,0.0,Total Churn
512367788,0,19,1,148.27,1,0.0,Total Churn
512368012,0,2,1,718.14,0,0.0,Total Churn
512368408,0,28,1,42.47,1,0.0,Total Churn
512368482,8,10,2,809.6999999999999,2,2.0,Non-Churn
512368585,0,13,1,329.46,0,0.0,Total Churn
512368876,0,30,1,241.18,1,0.0,Total Churn
512368893,0,3,1,334.37,0,0.0,Total Churn
512369242,0,26,1,370.56,1,1.0,Non-Churn
512369617,0,7,1,1093.85,3,0.0,Total Churn
512369844,0,2,1,28.31,0,0.0,Total Churn
512370169,0,15,1,77.2,1,0.0,Total Churn
512370324,0,3,1,1055.34,3,0.0,Total Churn
512370846,0,6,1,369.33,0,0.0,Total Churn
512370985,0,1,1,60.46,0,0.0,Total Churn
512371207,0,2,1,637.85,0,0.0,Total Churn
512371293,0,7,1,1013.93,3,0.0,Total Churn
512371769,0,4,1,36.55,0,0.0,Total Churn
512371934,0,29,1,136.4,1,0.0,Total Churn
512371951,0,2,1,82.11,0,0.0,Total Churn
512372008,0,24,1,118.15,1,0.0,Total Churn
512372052,0,27,1,729.32,1,0.0,Total Churn
512372222,0,26,1,465.9,1,0.0,Total Churn
512372658,0,13,1,126.34,0,0.0,Total Churn
512372774,0,3,1,105.43,0,0.0,Total Churn
512372821,0,8,1,10.48,0,0.0,Total Churn
512372854,0,27,1,167.13,1,0.0,Total Churn
512373499,0,20,1,412.89,1,0.0,Total Churn
512373783,0,8,1,138.23,0,0.0,Total Churn
512373833,0,20,1,673.49,1,0.0,Total Churn
512373870,0,14,1,308.86,0,0.0,Total Churn
512374122,0,13,1,278.95,0,0.0,Total Churn
512374518,0,24,1,442.74,1,0.0,Total Churn
512374905,0,15,1,677.63,3,0.0,Total Churn
512375019,6,17,3,769.35,2,0.0,Total Churn
512375027,0,5,1,183.27,0,0.0,Total Churn
512375071,0,18,1,128.45,1,0.0,Total Churn
512375329,0,2,1,127.93,0,0.0,Total Churn
512375894,0,20,1,411.85,1,0.0,Total Churn
512376032,0,18,1,360.09,1,0.0,Total Churn
512376418,0,29,1,604.62,1,0.0,Total Churn
512376434,21,4,3,1540.47,2,0.0,Total Churn
512376604,0,27,1,424.72,1,0.0,Total Churn
512376708,0,17,1,18.51,1,0.0,Total Churn
512376726,0,5,1,166.03,0,0.0,Total Churn
512377185,0,13,1,254.55,0,0.0,Total Churn
512377411,0,28,1,131.0,1,0.0,Total Churn
512377614,0,12,1,468.22,0,0.0,Total Churn
512377888,0,29,1,2531.34,3,1.0,Non-Churn
512377914,0,2,1,691.88,0,0.0,Total Churn
512378124,0,14,1,97.81,0,0.0,Total Churn
512378405,0,3,1,358.26,0,0.0,Total Churn
512379179,0,27,1,289.58,1,0.0,Total Churn
512379557,0,11,1,308.86,0,0.0,Total Churn
512379619,0,3,1,591.73,0,0.0,Total Churn
512380219,0,25,1,684.68,1,0.0,Total Churn
512380237,0,13,1,1029.36,3,0.0,Total Churn
512380874,0,21,1,97.04,1,0.0,Total Churn
512380983,0,26,1,97.56,1,0.0,Total Churn
512380997,0,13,1,63.79,0,0.0,Total Churn
512381027,0,22,1,77.22,1,0.0,Total Churn
512381276,0,30,1,197.4,1,0.0,Total Churn
512381973,0,13,1,226.09,0,0.0,Total Churn
512382177,0,26,1,810.25,3,0.0,Total Churn
512382611,0,24,1,205.41,1,0.0,Total Churn
512383138,0,13,1,509.57,0,0.0,Total Churn
512383417,0,10,1,24.2,0,0.0,Total Churn
512383594,0,9,1,334.6,0,0.0,Total Churn
512383813,0,17,1,1007.97,3,0.0,Total Churn
512383896,0,3,1,1325.63,3,0.0,Total Churn
512384045,0,7,1,246.52,0,0.0,Total Churn
512384050,0,16,1,46.33,1,0.0,Total Churn
512384085,0,15,1,1088.81,3,0.0,Total Churn
512384141,0,9,1,33.47,0,0.0,Total Churn
512384348,0,28,1,205.67,1,0.0,Total Churn
512385029,0,5,1,629.04,0,1.0,Non-Churn
512385597,0,22,1,318.92,1,0.0,Total Churn
512385603,0,21,1,55.31,1,0.0,Total Churn
512386032,0,0,1,578.82,0,0.0,Total Churn
512386086,23,2,2,1984.58,2,2.0,Non-Churn
512386325,0,18,1,90.07,1,0.0,Total Churn
512387104,0,22,1,5.81,1,0.0,Total Churn
512387455,0,16,1,271.75,1,0.0,Total Churn
512387756,0,8,1,463.05,0,0.0,Total Churn
512387935,0,29,1,30.86,1,1.0,Non-Churn
512388419,22,0,3,470.84,2,6.0,Non-Churn
512388596,0,28,1,975.56,3,0.0,Total Churn
512388805,0,22,1,51.22,1,0.0,Total Churn
512388937,0,14,1,694.72,3,0.0,Total Churn
512389018,0,1,1,107.49,0,0.0,Total Churn
512389330,0,1,1,27.03,0,0.0,Total Churn
512389338,0,22,1,379.57,1,0.0,Total Churn
512389424,0,17,1,34.72,1,0.0,Total Churn
512389542,0,12,1,87.13,0,0.0,Total Churn
512389583,5,4,2,53.74,2,0.0,Total Churn
512389760,0,26,1,731.04,1,0.0,Total Churn
512390001,0,21,1,488.3,1,0.0,Total Churn
512390058,0,15,1,172.44,1,0.0,Total Churn
512390648,0,8,1,141.32,0,0.0,Total Churn
512390924,0,9,1,228.83,0,0.0,Total Churn
512391418,0,25,1,257.38,1,0.0,Total Churn
512391477,0,7,1,138.82,0,0.0,Total Churn
512391756,0,8,1,244.51,0,0.0,Total Churn
512391762,0,20,1,180.18,1,1.0,Non-Churn
512391773,0,22,1,12.84,1,0.0,Total Churn
512391862,0,14,1,460.08,0,0.0,Total Churn
512392289,9,11,2,1541.85,2,0.0,Total Churn
512392341,0,23,1,56.58,1,0.0,Total Churn
512392712,0,25,1,308.62,1,0.0,Total Churn
512392819,0,10,1,370.24,0,0.0,Total Churn
512393705,0,17,1,766.76,3,0.0,Total Churn
512393716,0,11,1,71.82,0,0.0,Total Churn
512393742,0,1,1,101.44,0,0.0,Total Churn
512393880,0,29,1,225.42,1,0.0,Total Churn
512394015,0,17,1,213.59,1,0.0,Total Churn
512395385,0,0,1,79.02,0,0.0,Total Churn
512395747,0,13,1,196.4,0,0.0,Total Churn
512395993,0,16,1,90.07,1,0.0,Total Churn
512396397,0,13,1,59.72,0,0.0,Total Churn
512396425,0,2,1,28.31,0,0.0,Total Churn
512396454,0,3,1,220.08,0,0.0,Total Churn
512397098,0,5,1,215.39,0,0.0,Total Churn
512397130,0,27,1,256.08,1,0.0,Total Churn
512397151,0,18,1,25.71,1,0.0,Total Churn
512397244,0,6,1,296.02,0,0.0,Total Churn
512397300,0,20,1,16.19,1,0.0,Total Churn
512398332,0,26,1,56.6,1,0.0,Total Churn
512398717,0,4,1,244.81,0,0.0,Total Churn
512398981,0,26,1,22.34,1,0.0,Total Churn
512399014,0,16,1,22.11,1,0.0,Total Churn
512399039,0,0,1,39.38,0,0.0,Total Churn
512399380,9,17,2,2921.29,2,0.0,Total Churn
512399682,0,10,1,170.72,0,0.0,Total Churn
512399796,0,6,1,385.6,0,0.0,Total Churn
512400090,0,19,1,179.9,1,0.0,Total Churn
512400106,0,19,1,136.4,1,0.0,Total Churn
512400282,0,15,1,347.24,1,0.0,Total Churn
512400592,0,3,1,1243.79,3,0.0,Total Churn
512400752,0,8,1,6.8,0,0.0,Total Churn
512401188,0,14,1,22.6,0,0.0,Total Churn
512401342,0,30,1,617.75,1,0.0,Total Churn
512401560,0,9,1,1106.82,3,0.0,Total Churn
512401651,0,18,1,51.22,1,0.0,Total Churn
512401991,0,20,1,308.86,1,0.0,Total Churn
512402279,0,8,1,53.05,0,0.0,Total Churn
512402492,0,28,1,368.04,1,0.0,Total Churn
512402785,0,17,1,746.45,3,0.0,Total Churn
512402860,0,26,1,98.54,1,0.0,Total Churn
512402899,0,26,1,174.05,1,0.0,Total Churn
512402926,0,21,1,700.81,1,0.0,Total Churn
512403290,0,18,1,131.64,1,0.0,Total Churn
512403401,0,19,1,91.12,1,0.0,Total Churn
512403412,0,30,1,146.7,1,0.0,Total Churn
512403912,0,3,1,125.63,0,0.0,Total Churn
512404658,0,17,1,208.24,1,0.0,Total Churn
512404841,0,13,1,71.82,0,0.0,Total Churn
512405193,0,29,1,184.29,1,0.0,Total Churn
512405539,0,7,1,222.08,0,1.0,Non-Churn
512406056,0,16,1,433.72,1,0.0,Total Churn
512406378,0,23,1,102.94,1,0.0,Total Churn
512406565,0,20,1,1003.85,3,0.0,Total Churn
512406567,0,12,1,643.23,0,0.0,Total Churn
512406731,0,6,1,76.96,0,0.0,Total Churn
512406732,0,19,1,94.73,1,0.0,Total Churn
512406928,0,1,1,178.9,0,0.0,Total Churn
512407805,0,15,1,287.61,1,0.0,Total Churn
512407916,8,15,2,362.25,2,0.0,Total Churn
512408783,0,12,1,34.75,0,0.0,Total Churn
512408787,0,22,1,1415.48,3,0.0,Total Churn
512409391,0,30,1,38.59,1,0.0,Total Churn
512409967,0,12,1,256.89,0,0.0,Total Churn
512410077,0,26,2,431.81,2,0.0,Total Churn
512410265,0,12,1,801.8,3,0.0,Total Churn
512410442,0,12,1,79.54,0,0.0,Total Churn
512410645,0,5,1,113.0,0,0.0,Total Churn
512411314,0,24,1,1415.48,3,0.0,Total Churn
512411380,0,5,1,514.79,0,0.0,Total Churn
512412621,0,21,1,485.54,1,0.0,Total Churn
512413312,0,29,1,630.62,1,0.0,Total Churn
512413556,0,17,1,128.19,1,0.0,Total Churn
512413674,0,10,1,64.02,0,0.0,Total Churn
512413933,0,29,1,172.21,1,0.0,Total Churn
512414074,0,19,1,72.85,1,0.0,Total Churn
512414490,0,23,1,22.91,1,0.0,Total Churn
512414576,0,8,1,1424.49,3,0.0,Total Churn
512414845,0,9,1,154.42,0,0.0,Total Churn
512415338,0,13,1,179.64,0,0.0,Total Churn
512415741,0,28,1,321.5,1,0.0,Total Churn
512416355,0,28,1,731.35,1,0.0,Total Churn
512416656,0,10,1,1414.51,3,0.0,Total Churn
512416898,0,28,1,38.59,1,0.0,Total Churn
512417133,0,20,1,169.35,1,0.0,Total Churn
512417206,0,4,1,146.7,0,0.0,Total Churn
512417309,0,14,1,1003.85,3,0.0,Total Churn
512417384,0,22,1,112.7,1,0.0,Total Churn
512418618,0,10,1,149.27,0,0.0,Total Churn
512418844,0,19,1,298.33,1,0.0,Total Churn
512419174,0,5,1,565.78,0,0.0,Total Churn
512419192,0,26,1,32.18,1,0.0,Total Churn
512419572,0,0,1,70.27,0,0.0,Total Churn
512419790,0,11,1,333.21,0,0.0,Total Churn
